fold,direction,target_prec,k,tau,units,units_excluded_lt_k,n_alerts,n_hits,precision,alerts_per_unit,recall_of_movers
1,down,0.3,10,-0.11541706323623657,78,0,393,43,0.10941475826972011,5.038461538461538,0.25595238095238093
1,down,0.3,15,-0.11541706323623657,76,2,441,48,0.10884353741496598,5.802631578947368,0.2857142857142857
1,down,0.3,20,-0.11541706323623657,75,3,452,49,0.1084070796460177,6.026666666666666,0.2916666666666667
1,down,0.4,5,1.7467387914657593,78,0,204,26,0.12745098039215685,2.6153846153846154,0.15476190476190477
1,down,0.4,10,1.7467387914657593,78,0,276,33,0.11956521739130435,3.5384615384615383,0.19642857142857142
1,down,0.4,15,1.7467387914657593,76,2,292,35,0.11986301369863013,3.8421052631578947,0.20833333333333334
1,down,0.4,20,1.7467387914657593,75,3,295,35,0.11864406779661017,3.933333333333333,0.20833333333333334
1,up,0.2,5,-2.00523042678833,78,0,378,57,0.15079365079365079,4.846153846153846,0.2766990291262136
1,up,0.2,10,-2.00523042678833,78,0,708,86,0.12146892655367232,9.076923076923077,0.4174757281553398
1,up,0.2,15,-2.00523042678833,76,2,960,112,0.11666666666666667,12.631578947368421,0.5436893203883495
1,up,0.2,20,-2.00523042678833,75,3,1168,129,0.11044520547945205,15.573333333333334,0.6262135922330098
1,up,0.3,5,-0.6655995845794678,78,0,355,55,0.15492957746478872,4.551282051282051,0.2669902912621359
1,up,0.3,10,-0.6655995845794678,78,0,627,81,0.1291866028708134,8.038461538461538,0.3932038834951456
1,up,0.3,15,-0.6655995845794678,76,2,821,101,0.12302070645554203,10.802631578947368,0.49029126213592233
1,up,0.3,20,-0.6655995845794678,75,3,941,116,0.12327311370882041,12.546666666666667,0.5631067961165048
1,up,0.4,5,0.19259771704673767,78,0,329,53,0.16109422492401215,4.217948717948718,0.25728155339805825
1,up,0.4,10,0.19259771704673767,78,0,553,77,0.13924050632911392,7.089743589743589,0.3737864077669903
1,up,0.4,15,0.19259771704673767,76,2,695,95,0.1366906474820144,9.144736842105264,0.46116504854368934
1,up,0.4,20,0.19259771704673767,75,3,746,103,0.1380697050938338,9.946666666666667,0.5
2,down,0.2,5,-0.1251712441444397,68,6,277,49,0.17689530685920576,4.073529411764706,0.28
2,down,0.2,10,-0.1251712441444397,67,7,469,72,0.1535181236673774,7.0,0.4114285714285714
2,down,0.2,15,-0.1251712441444397,66,8,589,77,0.1307300509337861,8.924242424242424,0.44
2,down,0.2,20,-0.1251712441444397,63,11,639,82,0.12832550860719874,10.142857142857142,0.4685714285714286
2,down,0.3,5,2.3651769161224365,68,6,219,45,0.2054794520547945,3.2205882352941178,0.2571428571428571
2,down,0.3,10,2.3651769161224365,67,7,333,62,0.18618618618618618,4.970149253731344,0.35428571428571426
2,down,0.3,15,2.3651769161224365,66,8,360,63,0.175,5.454545454545454,0.36
2,down,0.3,20,2.3651769161224365,63,11,360,64,0.17777777777777778,5.714285714285714,0.3657142857142857
2,down,0.4,5,3.1773643493652344,68,6,156,37,0.23717948717948717,2.2941176470588234,0.21142857142857144
2,down,0.4,10,3.1773643493652344,67,7,196,42,0.21428571428571427,2.925373134328358,0.24
2,down,0.4,15,3.1773643493652344,66,8,198,42,0.21212121212121213,3.0,0.24
